superflappybirds_libretro.so;;
swanstation_libretro.so;SwanStation;
tgbdual_libretro.so;TGB Dual;
theodore_libretro.so;theodore;
tic80_libretro.so;TIC-80;
tyrquake_libretro.so;TyrQuake;
uae4arm_libretro.so;UAE4ARM;
uzem_libretro.so;uzem;
vbam_libretro.so;VBA-M;
vba_next_libretro.so;VBA Next;
vecx_libretro.so;vecx;
vemulator_libretro.so;VeMUlator;
vice_x128_libretro.so;VICE x128;
vice_x64_libretro.so;VICE x64;
vice_x64sc_libretro.so;VICE x64sc;
vice_xcbm2_libretro.so;VICE xcbm2;
vice_xcbm5x0_libretro.so;VICE xcbm5x0;
vice_xpet_libretro.so;VICE xpet;
vice_xplus4_libretro.so;VICE xplus4;
vice_xscpu64_libretro.so;VICE xscpu64;
vice_xvic_libretro.so;VICE xvic;
virtualjaguar_libretro.so;Virtual Jaguar;
wasm4_libretro.so;WASM-4;
x1_libretro.so;x1;
xrick_libretro.so;XRick;
yabasanshiro_libretro.so;YabaSanshiro;
yabause_libretro.so;Yabause;
